Data from black pellet_Subt2__1__15-44-44-043.txt Node

Date: Mon Apr 05 15:44:44 EDT 2021
User: ajo5182
Spectrometer: USB2E133
Scans to average: 1
Trigger mode: 1
Integration Time (sec): 1.000000E-2
Electric dark correction enabled: true
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
175.383	2.44
175.57	2.44
175.756	1.44
175.942	-3.56
176.128	0.44
176.315	3.44
176.501	-3.56
176.687	-2.56
176.873	0.44
177.059	-0.56
177.245	0.44
177.431	2.44
177.617	-0.56
177.803	-6.56
177.989	-1.56
178.175	3.44
178.361	1.44
178.547	0.44
178.733	1.44
178.919	-4.56
179.105	0.44
179.291	-3.56
179.477	-1.56
179.663	-3.56
179.848	1.44
180.034	-2.56
180.22	-2.56
180.406	1.44
180.591	2.44
180.777	2.44
180.963	0.44
181.148	-0.56
181.334	2.44
181.52	8.44
181.705	6.44
181.891	2.44
182.076	-3.56
182.262	-0.56
182.448	0.44
182.633	4.44
182.819	-2.56
183.004	-1.56
183.189	-7.56
183.375	-4.56
183.56	1.44
183.746	-4.56
183.931	-1.56
184.116	-0.56
184.302	-2.56
184.487	2.44
184.672	-2.56
184.857	-0.56
185.043	-3.56
185.228	-1.56
185.413	-3.56
185.598	1.44
185.783	-5.56
185.969	2.44
186.154	0.44
186.339	2.44
186.524	-2.56
186.709	-4.56
186.894	3.44
187.079	-5.56
187.264	-0.56
187.449	-2.56
187.634	-5.56
187.819	-0.56
188.004	-1.56
188.189	-1.56
188.374	-0.56
188.558	4.44
188.743	1.44
188.928	-2.56
189.113	6.44
189.298	-2.56
189.482	4.44
189.667	4.44
189.852	1.44
190.037	3.44
190.221	3.44
190.406	0.44
190.591	1.44
190.775	-2.56
190.96	-4.56
191.144	-4.56
191.329	3.44
191.513	6.44
191.698	2.44
191.883	-4.56
192.067	-6.56
192.251	4.44
192.436	10.44
192.62	1.44
192.805	-0.56
192.989	2.44
193.173	-3.56
193.358	4.44
193.542	-4.56
193.726	-2.56
193.911	-5.56
194.095	-0.56
194.279	2.44
194.463	1.44
194.648	-3.56
194.832	0.44
195.016	1.44
195.2	-1.56
195.384	-2.56
195.568	3.44
195.752	-4.56
195.936	3.44
196.12	5.44
196.304	5.44
196.488	7.44
196.672	-2.56
196.856	2.44
197.04	6.44
197.224	5.44
197.408	-3.56
197.592	0.44
197.776	1.44
197.96	6.44
198.143	-1.56
198.327	3.44
198.511	1.44
198.695	9.44
198.878	-1.56
199.062	1.44
199.246	1.44
199.43	2.44
199.613	-5.56
199.797	1.44
199.98	2.44
200.164	-2.56
200.348	-1.56
200.531	-0.56
200.715	4.44
200.898	6.44
201.082	-0.56
201.265	1.44
201.449	-5.56
201.632	0.44
201.815	2.44
201.999	0.44
202.182	-0.56
202.365	2.44
202.549	5.44
202.732	3.44
202.915	5.44
203.099	0.44
203.282	9.44
203.465	4.44
203.648	1.44
203.832	-0.56
204.015	1.44
204.198	-5.56
204.381	-0.56
204.564	-5.56
204.747	2.44
204.93	10.44
205.113	8.44
205.296	6.44
205.479	-2.56
205.662	0.44
205.845	2.44
206.028	2.44
206.211	0.44
206.394	1.44
206.577	1.44
206.76	-1.56
206.943	4.44
207.125	4.44
207.308	-1.56
207.491	0.44
207.674	-3.56
207.857	3.44
208.039	8.44
208.222	7.44
208.405	1.44
208.587	3.44
208.77	-0.56
208.953	5.44
209.135	2.44
209.318	5.44
209.5	7.44
209.683	8.44
209.865	5.44
210.048	6.44
210.23	4.44
210.413	11.44
210.595	6.44
210.778	2.44
210.96	3.44
211.142	6.44
211.325	6.44
211.507	8.44
211.69	15.44
211.872	5.44
212.054	11.44
212.236	12.44
212.419	15.44
212.601	15.44
212.783	6.44
212.965	5.44
213.147	6.44
213.329	14.44
213.512	16.44
213.694	12.44
213.876	9.44
214.058	10.44
214.24	19.44
214.422	19.44
214.604	15.44
214.786	15.44
214.968	12.44
215.15	18.44
215.332	21.44
215.514	17.44
215.695	18.44
215.877	18.44
216.059	11.44
216.241	10.44
216.423	12.44
216.605	18.44
216.786	13.44
216.968	11.44
217.15	17.44
217.331	18.44
217.513	19.44
217.695	20.44
217.876	21.44
218.058	15.44
218.24	23.44
218.421	21.44
218.603	21.44
218.784	21.44
218.966	23.44
219.147	19.44
219.329	20.44
219.51	26.44
219.692	20.44
219.873	26.44
220.054	24.44
220.236	27.44
220.417	31.44
220.599	27.44
220.78	23.44
220.961	26.44
221.142	22.44
221.324	35.44
221.505	37.44
221.686	43.44
221.867	32.44
222.048	33.44
222.23	30.44
222.411	30.44
222.592	34.44
222.773	38.44
222.954	31.44
223.135	35.44
223.316	35.44
223.497	34.44
223.678	38.44
223.859	41.44
224.04	44.44
224.221	39.44
224.402	45.44
224.583	45.44
224.764	36.44
224.944	40.44
225.125	40.44
225.306	40.44
225.487	49.44
225.668	49.44
225.848	42.44
226.029	48.44
226.21	51.44
226.391	53.44
226.571	42.44
226.752	57.44
226.933	48.44
227.113	52.44
227.294	53.44
227.474	53.44
227.655	53.44
227.835	51.44
228.016	56.44
228.196	58.44
228.377	55.44
228.557	57.44
228.738	69.44
228.918	73.44
229.098	77.44
229.279	84.44
229.459	94.44
229.64	92.44
229.82	84.44
230	94.44
230.18	83.44
230.361	77.44
230.541	73.44
230.721	76.44
230.901	75.44
231.081	72.44
231.262	80.44
231.442	75.44
231.622	75.44
231.802	74.44
231.982	67.44
232.162	83.44
232.342	83.44
232.522	80.44
232.702	79.44
232.882	92.44
233.062	99.44
233.242	100.44
